name,category,image,price,description,unlockType,downloadable
Mũ Bảo Hiểm,accessory,⛑️,23,Mũ bảo hiểm an toàn,coins,true
Găng Tay,accessory,🧤,16,Găng tay ấm,coins,true
Tất Chân,accessory,🧦,14,Tất chân ấm,coins,true
Kính Đeo Mắt,accessory,👓,18,Kính đeo mắt,coins,true
Đồng Hồ,accessory,⌚,24,Đồng hồ xem giờ,coins,true
Khung Cửa Sổ,frame,🖼️,10,Khung cửa sổ đẹp,coins,true
Khung Làng Quê,frame,🏞️,15,Khung cảnh làng quê,coins,true
Khung Phố Cổ,frame,🏛️,20,Khung cảnh phố cổ,coins,true
Khung Biển,frame,🌊,18,Khung cảnh biển,coins,true
Khung Núi,frame,⛰️,17,Khung cảnh núi,coins,true
Khung Đồng Lúa,frame,🌾,16,Khung cảnh đồng lúa,coins,true
Khung Cầu,frame,🌉,19,Khung cảnh cầu,coins,true
Khung Chùa,frame,⛩️,20,Khung cảnh chùa,coins,true
Khung Nhà,frame,🏠,12,Khung cảnh nhà,coins,true
Khung Trường Học,frame,🏫,14,Khung cảnh trường học,coins,true
Khung Công Viên,frame,🌳,13,Khung cảnh công viên,coins,true
Khung Sông,frame,🌊,15,Khung cảnh sông,coins,true
Khung Rừng,frame,🌲,16,Khung cảnh rừng,coins,true
Khung Thành Phố,frame,🏙️,18,Khung cảnh thành phố,coins,true
Khung Chợ,frame,🏪,17,Khung cảnh chợ,coins,true
Khung Vườn,frame,🌻,14,Khung cảnh vườn,coins,true
Khung Hoàng Hôn,frame,🌅,19,Khung cảnh hoàng hôn,coins,true
Khung Bình Minh,frame,🌄,19,Khung cảnh bình minh,coins,true
Khung Trăng,frame,🌙,20,Khung cảnh trăng,coins,true
Khung Sao,frame,⭐,18,Khung cảnh sao,coins,true
Đèn Lồng,sticker,🏮,5,Đèn lồng đỏ,coins,true
Diều Giấy,sticker,🪁,10,Diều giấy bay,coins,true
Mặt Nạ,sticker,🎭,10,Mặt nạ vui,coins,true
Trống,sticker,🥁,15,Trống đánh,coins,true
Kèn,sticker,🎺,12,Kèn thổi,coins,true
Đàn,sticker,🎸,14,Đàn ghi-ta,coins,true
Bóng Bay,sticker,🎈,6,Bóng bay đẹp,coins,true
Xe Đạp,sticker,🚲,13,Xe đạp đi chơi,coins,true
Máy Bay,sticker,✈️,15,Máy bay bay,coins,true
Tàu Thủy,sticker,🚢,14,Tàu thủy,coins,true
Xe Hơi,sticker,🚗,12,Xe hơi đẹp,coins,true
Búp Bê,sticker,🎎,11,Búp bê dễ thương,coins,true
Gấu Bông,sticker,🧸,13,Gấu bông mềm,coins,true
Xe Lửa,sticker,🚂,14,Xe lửa chạy,coins,true
Bánh Chưng,sticker,🍙,8,Bánh chưng Tết,coins,true
Bánh Dày,sticker,🍘,8,Bánh dày,coins,true
Hoa Đào,sticker,🌸,7,Hoa đào Tết,coins,true
Hoa Mai,sticker,🌺,7,Hoa mai vàng,coins,true
Cờ Tổ Quốc,sticker,🇻🇳,10,Cờ Tổ quốc,coins,true
Sao Vàng,sticker,⭐,9,Sao vàng năm cánh,coins,true
Bánh Xe,sticker,🎡,12,Bánh xe quay,coins,true

Con Trâu Vàng,character,🐃,35,"Linh vật Trâu Vàng may mắn",coins,false
Rồng Con,character,🐉,40,"Linh vật Rồng Con mạnh mẽ",coins,false
Gà Trống Lửa,character,🐓,35,"Linh vật Gà Trống oai vệ",coins,false
Mèo Tam Thể,character,🐈,30,"Linh vật Mèo Tam Thể xinh xắn",coins,false
Cá Chép Vàng,character,🎏,35,"Linh vật Cá Chép Vàng may mắn",coins,false
Sao La,character,🦌,45,"Linh vật Sao La quý hiếm",coins,false
Voi Con,character,🐘,35,"Linh vật Voi Con đáng yêu",coins,false
Gấu Trúc,character,🐼,40,"Linh vật Gấu Trúc dễ thương",coins,false
Khỉ Vàng,character,🐒,35,"Linh vật Khỉ Vàng tinh nghịch",coins,false
Chim Lạc,character,🐦,40,"Linh vật Chim Lạc huyền thoại",coins,false

